S/N,Northing,,,,Easting,,,,Grade
1,7,,,,4,,,,0.2
2,7,,,,4.004166667,,,,0.15
3,7,,,,4.008333333,,,,0.12
4,7,,,,4.0125,,,,0.11
5,7,,,,4.016666667,,,,0.22
6,7,,,,4.020833333,,,,0.23
7,7,,,,4.025,,,,0.35
8,7,,,,4.029166667,,,,0.45
9,7,,,,4.033333333,,,,0.4
10,7,,,,4.0375,,,,0.35
11,7,,,,4.041666667,,,,0.3
12,7,,,,4.045833333,,,,0.3
13,7,,,,4.05,,,,0.31
14,7,,,,4.054166667,,,,0.35
15,7,,,,4.058333333,,,,0.25
16,7,,,,4.0625,,,,0.33
17,7,,,,4.066666667,,,,0.38
18,7,,,,4.070833333,,,,0.25
19,7.004166667,,,,4,,,,0.45
20,7.004166667,,,,4.004166667,,,,0.5
21,7.004166667,,,,4.008333333,,,,0.6
22,7.004166667,,,,4.0125,,,,0.7
23,7.004166667,,,,4.016666667,,,,0.55
24,7.004166667,,,,4.020833333,,,,0.4
25,7.004166667,,,,4.025,,,,0.4
26,7.004166667,,,,4.029166667,,,,0.45
27,7.004166667,,,,4.033333333,,,,0.5
28,7.004166667,,,,4.0375,,,,0.46
29,7.004166667,,,,4.041666667,,,,0.55
30,7.004166667,,,,4.045833333,,,,0.2
31,7.004166667,,,,4.05,,,,0.21
32,7.004166667,,,,4.054166667,,,,0.18
33,7.004166667,,,,4.058333333,,,,0.17
34,7.004166667,,,,4.0625,,,,0.16
35,7.004166667,,,,4.066666667,,,,0.15
36,7.004166667,,,,4.070833333,,,,0.17
37,7.004166667,,,,4.075,,,,0.2
38,7.008333333,,,,4,,,,0.21
39,7.008333333,,,,4.004166667,,,,0.4
40,7.008333333,,,,4.008333333,,,,0.45
41,7.008333333,,,,4.0125,,,,0.5
42,7.008333333,,,,4.016666667,,,,0.47
43,7.008333333,,,,4.020833333,,,,0.6
44,7.008333333,,,,4.025,,,,0.46
45,7.008333333,,,,4.029166667,,,,0.47
46,7.008333333,,,,4.033333333,,,,0.45
47,7.008333333,,,,4.0375,,,,0.5
48,7.008333333,,,,4.041666667,,,,0.46
49,7.008333333,,,,4.045833333,,,,0.46
50,7.008333333,,,,4.05,,,,0.45
51,7.008333333,,,,4.054166667,,,,0.45
52,7.008333333,,,,4.058333333,,,,0.25
53,7.008333333,,,,4.0625,,,,0.25
54,7.008333333,,,,4.066666667,,,,0.2
55,7.008333333,,,,4.070833333,,,,0.2
56,7.008333333,,,,4.075,,,,0.2
57,7.008333333,,,,4.079166667,,,,0.2
58,7.0125,,,,4,,,,0.3
59,7.0125,,,,4.004166667,,,,0.3
60,7.0125,,,,4.008333333,,,,0.5
61,7.0125,,,,4.0125,,,,0.45
62,7.0125,,,,4.016666667,,,,0.55
63,7.0125,,,,4.020833333,,,,0.46
64,7.0125,,,,4.025,,,,0.47
65,7.0125,,,,4.029166667,,,,0.55
66,7.0125,,,,4.033333333,,,,0.55
67,7.0125,,,,4.0375,,,,0.55
68,7.0125,,,,4.041666667,,,,0.55
69,7.0125,,,,4.045833333,,,,0.2
70,7.0125,,,,4.05,,,,0.25
71,7.0125,,,,4.054166667,,,,0.23
72,7.0125,,,,4.058333333,,,,0.33
73,7.0125,,,,4.0625,,,,0.2
74,7.0125,,,,4.066666667,,,,0.2
75,7.0125,,,,4.070833333,,,,0.23
76,7.0125,,,,4.075,,,,0.22
77,7.0125,,,,4.079166667,,,,0.21
78,7.016666667,,,,4,,,,0.22
79,7.016666667,,,,4.004166667,,,,0.22
80,7.016666667,,,,4.008333333,,,,0.22
81,7.016666667,,,,4.0125,,,,0.45
82,7.016666667,,,,4.016666667,,,,0.45
83,7.016666667,,,,4.020833333,,,,0.46
84,7.016666667,,,,4.025,,,,0.47
85,7.016666667,,,,4.029166667,,,,0.48
86,7.016666667,,,,4.033333333,,,,0.48
87,7.016666667,,,,4.0375,,,,0.47
88,7.016666667,,,,4.041666667,,,,0.48
89,7.016666667,,,,4.045833333,,,,0.48
90,7.016666667,,,,4.05,,,,0.45
91,7.016666667,,,,4.054166667,,,,0.56
92,7.016666667,,,,4.058333333,,,,0.17
93,7.016666667,,,,4.0625,,,,0.17
94,7.016666667,,,,4.066666667,,,,0.17
95,7.016666667,,,,4.070833333,,,,0.2
96,7.016666667,,,,4.083333333,,,,0.2
97,7.016666667,,,,4.0875,,,,0.25
98,7.016666667,,,,4.091666667,,,,0.22
99,7.016666667,,,,4.095833333,,,,0.3
100,7.016666667,,,,4.1,,,,0.35
101,7.020833333,,,,4.020833333,,,,0.38
102,7.020833333,,,,4.025,,,,0.32
103,7.020833333,,,,4.029166667,,,,0.3
104,7.020833333,,,,4.033333333,,,,0.3
105,7.020833333,,,,4.0375,,,,0.35
106,7.020833333,,,,4.041666667,,,,0.45
107,7.020833333,,,,4.045833333,,,,0.55
108,7.020833333,,,,4.05,,,,0.5
109,7.020833333,,,,4.054166667,,,,0.55
110,7.020833333,,,,4.058333333,,,,0.6
111,7.020833333,,,,4.0625,,,,0.6
112,7.020833333,,,,4.066666667,,,,0.66
113,7.020833333,,,,4.070833333,,,,0.66
114,7.020833333,,,,4.075,,,,0.66
115,7.025,,,,4,,,,0.66
116,7.025,,,,4.004166667,,,,0.66
117,7.025,,,,4.008333333,,,,0.66
118,7.025,,,,4.0125,,,,0.66
119,7.025,,,,4.016666667,,,,0.11
120,7.025,,,,4.020833333,,,,0.12
121,7.025,,,,4.025,,,,0.45
122,7.025,,,,4.029166667,,,,0.45
123,7.025,,,,4.033333333,,,,0.55
124,7.025,,,,4.0375,,,,0.6
125,7.025,,,,4.041666667,,,,0.6
126,7.025,,,,4.045833333,,,,0.6
127,7.025,,,,4.05,,,,0.66
128,7.025,,,,4.054166667,,,,0.66
129,7.025,,,,4.058333333,,,,0.66
130,7.025,,,,4.0625,,,,0.66
131,7.025,,,,4.066666667,,,,0.25
132,7.025,,,,4.070833333,,,,0.11
133,7.025,,,,4.075,,,,0.11
134,7.025,,,,4.079166667,,,,0.11
135,7.029166667,,,,4,,,,0.11
136,7.029166667,,,,4.004166667,,,,0.15
137,7.029166667,,,,4.008333333,,,,0.15
138,7.029166667,,,,4.0125,,,,0.17
139,7.029166667,,,,4.016666667,,,,0.46
140,7.029166667,,,,4.020833333,,,,0.45
141,7.029166667,,,,4.025,,,,0.47
142,7.029166667,,,,4.029166667,,,,0.55
143,7.029166667,,,,4.033333333,,,,0.45
144,7.029166667,,,,4.0375,,,,0.44
145,7.029166667,,,,4.041666667,,,,0.48
146,7.029166667,,,,4.045833333,,,,0.47
147,7.029166667,,,,4.05,,,,0.48
148,7.029166667,,,,4.054166667,,,,0.44
149,7.029166667,,,,4.058333333,,,,0.3
150,7.029166667,,,,4.0625,,,,0.35
151,7.029166667,,,,4.066666667,,,,0.31
152,7.029166667,,,,4.070833333,,,,0.32
153,7.029166667,,,,4.075,,,,0.31
154,7.029166667,,,,4.079166667,,,,0.25
155,7.033333333,,,,4,,,,0.27
156,7.033333333,,,,4.004166667,,,,0.3
157,7.033333333,,,,4.008333333,,,,0.45
158,7.033333333,,,,4.0125,,,,0.48
159,7.033333333,,,,4.016666667,,,,0.47
160,7.033333333,,,,4.020833333,,,,0.48
161,7.033333333,,,,4.025,,,,0.49
162,7.033333333,,,,4.029166667,,,,0.47
163,7.033333333,,,,4.033333333,,,,0.55
164,7.033333333,,,,4.0375,,,,0.45
165,7.033333333,,,,4.041666667,,,,0.45
166,7.033333333,,,,4.045833333,,,,0.44
167,7.033333333,,,,4.05,,,,0.46
168,7.033333333,,,,4.054166667,,,,0.45
169,7.033333333,,,,4.058333333,,,,0.22
170,7.033333333,,,,4.0625,,,,0.22
171,7.033333333,,,,4.066666667,,,,0.22
172,7.033333333,,,,4.070833333,,,,0.22
173,7.0375,,,,4,,,,0.22
174,7.0375,,,,4.004166667,,,,0.22
175,7.0375,,,,4.008333333,,,,0.22
176,7.0375,,,,4.0125,,,,0.12
